SensorIndex_1,AccelX_1,AccelY_1,AccelZ_1,GyroX_1,GyroY_1,GyroZ_1,MagX_1,MagY_1,MagZ_1,Quat1_1,Quat2_1,Quat3_1,Quat4_1,Sampletime_1,Package_1
0,0.05000000074505806,-0.09000000357627869,9.720000267028809,0.125,-0.25,0.0625,29.5,-23.75,-20.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19920,29
0,0.05999999865889549,-0.09000000357627869,9.75,0,-0.25,0.125,29.5,-23.75,-20.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19930,30
0,0.03999999910593033,-0.07000000029802322,9.720000267028809,0,-0.1875,-0.0625,29.5,-23.75,-20.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19940,31
0,0.05000000074505806,-0.09000000357627869,9.760000228881836,0.0625,0.0625,0.0625,29.5,-23.75,-20.0625,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19950,32
0,0.05999999865889549,-0.07999999821186066,9.720000267028809,0.1875,-0.0625,0,30.6875,-28.25,-18.875,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19960,33
0,0.05999999865889549,-0.10000000149011612,9.739999771118164,0.0625,0.0625,0.0625,30.6875,-28.25,-18.875,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19970,34
0,0.03999999910593033,-0.07999999821186066,9.739999771118164,-0.125,-0.0625,0,30.6875,-28.25,-18.875,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19980,35
0,0.05999999865889549,-0.05999999865889549,9.75,0.0625,0.0625,0,30.6875,-28.25,-18.875,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,19990,36
0,0.07000000029802322,-0.09000000357627869,9.729999542236328,0.125,-0.3125,0.0625,30.6875,-28.25,-18.875,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,20000,37
0,0.07000000029802322,-0.07000000029802322,9.760000228881836,0.0625,-0.125,0,29.875,-28.25,-18.5,-0.3962460458278656,-0.004760812036693096,0.007141217589378357,-0.9181042313575745,20010,38
